phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
LIQUID,A,Co,x_Co,0.31,λ·A,0.21361978141600296,-0.082801986430851,-0.16705753141907884,-0.16772566471087383,-0.017311502879251386,-0.023748576628758344
LIQUID,A,Co,x_Co,0.32,λ·A,0.07089327289502205,0.07734153072226771,-0.11419263503300393,-0.09341788956162937,-0.12567315664582016,-0.08567568232979302
LIQUID,A,Co,x_Co,0.33,λ·A,-0.06356607545892437,0.09801436118502437,-0.004152653229045897,-0.12560815072887901,-0.173110907084994,0.08242415900502874
LIQUID,A,Co,x_Co,0.34,λ·A,-0.003527919789870406,-0.04930606032503568,0.04383984319447145,-0.23542927983401016,-0.060716162431752874,0.25337565828293873
LIQUID,A,Co,x_Co,0.35,λ·A,0.22917781628417683,-0.16180157317828153,0.03161769532495499,-0.27834837362055537,0.021697063615657347,0.15603037947306164
LIQUID,A,Co,x_Co,0.36,λ·A,0.353116918753485,-0.08396565542292166,-0.07653846526903427,-0.1997337549838367,-0.014919912746117035,-0.09453200835354057
LIQUID,A,Co,x_Co,0.37,λ·A,0.16129044104305823,0.012220105348013816,-0.034530737518486926,-0.09023083836292536,-0.09467221375163794,-0.07803338130716174
LIQUID,A,Co,x_Co,0.38,λ·A,-0.07126885944831335,-0.018501469461747525,0.08200588473357498,-0.13893133562650334,-0.1416476387936115,0.09996329688034204
LIQUID,A,Co,x_Co,0.39,λ·A,-0.10341597952730716,-0.13445801074402014,0.03819666601491122,-0.2677068612996542,-0.007939675454926274,0.17908637882494144
LIQUID,A,Co,x_Co,0.4,λ·A,0.06886662777296555,-0.1675848622810653,-0.019810858235207465,-0.2832706288327177,0.15977806110786696,-0.020628622664451392
LIQUID,B,Cr,x_Cr,0.01,λ·B,-0.18978000596329608,0.04672037131130545,0.2449734482260967,0.04295472519634399,-0.10770888791842642,-0.05531511570787551
LIQUID,B,Cr,x_Cr,0.02,λ·B,0.0007482813137619291,0.02817613677108879,0.2639604038263643,0.13018485045409475,-0.1482323284485364,-0.18338980329913193
LIQUID,B,Cr,x_Cr,0.03,λ·B,0.12691444884907627,-0.08007094674409633,0.16058182672975535,0.10441807290926758,-0.07647649945758658,-0.08526850990366042
LIQUID,B,Cr,x_Cr,0.04,λ·B,0.08622426483462024,-0.04410925046634615,0.051138145712472195,0.12558155837447135,0.11299567618947341,0.06942611785072132
LIQUID,B,Cr,x_Cr,0.05,λ·B,-0.020127042814350904,-0.039519226490655215,-0.05909368284136999,0.2663965932146068,0.1671639731737867,0.08251598347673902
LIQUID,B,Cr,x_Cr,0.06,λ·B,-0.03618211180125038,0.14924486408301102,-0.08873891041301193,0.36837331202941287,0.11645495481421225,-0.10789156276946868
LIQUID,B,Cr,x_Cr,0.07,λ·B,0.1965257559576031,0.22658740854172038,-0.059553766568624406,0.33051365458553833,0.08793724090075929,-0.2089311744249172
LIQUID,B,Cr,x_Cr,0.08,λ·B,0.4165969724923926,0.13182500184332882,-0.1505042800116927,0.22059157298310508,0.10466639589680549,-0.12464552061353439
LIQUID,B,Cr,x_Cr,0.09,λ·B,0.3535673554924092,0.043263969559034866,-0.28185674815607653,0.23027288487182337,0.1950668870317916,-0.048462384065576666
LIQUID,B,Cr,x_Cr,0.1,λ·B,0.13877304768943968,0.06382694455852647,-0.3031357452345293,0.35747898151959306,0.22464850997625435,-0.11124317514283157
LIQUID,B,Cr,x_Cr,0.11,λ·B,0.04535781905802085,0.15356018294151483,-0.24705139349908836,0.36993836094294963,0.07674082137837343,-0.28041081422729647
LIQUID,B,Cr,x_Cr,0.12,λ·B,0.17057455465623284,0.07424622880631407,-0.1630882021563205,0.20727315321900094,-0.08850561736987993,-0.31060329016520444
LIQUID,B,Cr,x_Cr,0.13,λ·B,0.2299715412634604,-0.1251984611956452,-0.17579309669704218,0.05913552595366621,-0.09755876661174105,-0.14387737380011303
LIQUID,B,Cr,x_Cr,0.14,λ·B,0.08839726844544323,-0.1584441708954596,-0.20709356984194702,0.0576062231203825,-0.026140532461893295,0.004832919210727674
LIQUID,B,Cr,x_Cr,0.15,λ·B,-0.11570498325234758,0.04052265739050314,-0.13104412531314577,0.14786601943194574,-0.021034592058828325,-0.05474072250425132
LIQUID,B,Cr,x_Cr,0.16,λ·B,-0.11463439207533999,0.251515336440258,-0.023808602513508244,0.17869041815631548,-0.1849009707630056,-0.20863613519370788
LIQUID,B,Cr,x_Cr,0.17,λ·B,-0.0021578021901234676,0.243089883457137,0.058368806343800976,0.11183683977979374,-0.25823594612169387,-0.1902862651824145
LIQUID,B,Cr,x_Cr,0.18,λ·B,0.010384833688100585,0.05904515766961886,0.025651269744838417,0.05386818784659652,-0.1857006744356497,0.014386245661624258
