phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,B,Cr,x_Cr,0.02,λ·B,-0.1594244587282165,-0.14048665930364515,0.06742868096876627,-0.01868658551869503,-0.20679151146757171,-0.2188282534894132
FCC,B,Cr,x_Cr,0.03,λ·B,-0.09554749850747145,-0.11514003239144095,0.02332885881100739,0.09568395876815428,-0.08364984231415964,-0.05858412522639439
FCC,B,Cr,x_Cr,0.04,λ·B,0.06961590414279603,-0.07608573796605879,-0.041105704892101504,0.08291237057664687,-0.02615265169439564,0.03694112533827358
FCC,B,Cr,x_Cr,0.05,λ·B,0.10254887362037317,-0.030571949955377136,-0.0402443877279377,0.02799020108927821,-0.025071440879850596,-0.016997781009611874
FCC,B,Cr,x_Cr,0.06,λ·B,-0.08215443158436729,0.11600698107491353,0.04940277293731676,0.13381921166560226,0.06413127815135075,-0.09638354286741757
FCC,B,Cr,x_Cr,0.07,λ·B,-0.12462790562574742,0.3336825110485295,0.19910261854800065,0.15178632523600882,0.19439018289305954,0.16606548854329073
FCC,B,Cr,x_Cr,0.08,λ·B,0.09406508442047824,0.3369947273690594,0.21622538760124274,0.23726152444169724,0.22719566090964768,0.3512724558187104
FCC,B,Cr,x_Cr,0.09,λ·B,0.33599940882911056,0.24628929283724027,0.18145967699946372,0.3372788528149422,0.14537980109711984,0.1209318945158973
FCC,B,Cr,x_Cr,0.1,λ·B,0.311506097652199,0.15935427183871903,0.22228762787523,0.32111242896276665,0.04470255847287484,-0.09135432941096415
FCC,B,Cr,x_Cr,0.11,λ·B,0.13404496739293775,0.19940241435463685,0.3131263326778464,0.27055403666144107,0.04522071559765152,-0.11636505968719688
FCC,B,Cr,x_Cr,0.12,λ·B,0.057661823440942395,0.32170004609543135,0.3782778862117919,0.14202919010183643,0.07445557334023115,0.08600503737487154
FCC,B,Cr,x_Cr,0.13,λ·B,0.2461374660312273,0.20701306533446723,0.3493085494223658,0.18225961698677873,0.017514191994015663,0.15677974511506387
FCC,B,Cr,x_Cr,0.14,λ·B,0.40610998566699774,0.04500518052052597,0.26557799514037744,0.1679840090700752,-0.07101276417424199,-0.061644653201200106
FCC,B,Cr,x_Cr,0.15,λ·B,0.299989597304812,-0.03408972118356111,0.22574082012523178,0.11271443455381974,-0.18220044597400828,-0.24587561056735785
FCC,B,Cr,x_Cr,0.16,λ·B,0.11349696138847355,0.04300789443010755,0.23549053023530522,-0.0008757581332530109,-0.20040310642368508,-0.29844233316944313
FCC,B,Cr,x_Cr,0.17,λ·B,0.10772327631739169,0.08196430862886904,0.24495425446611038,-0.032197242994265025,-0.18137803816569695,-0.23468859353857185
